,category,deadline,funded,goal,phase,progress,project,sponsor,sponsor_page,status,supports
841,科技,2015-10-30 00:00:00,58579,50000,项目成功,117,孕动宝,牧融科技公司,https://z.jd.com/funderCenter.action?flag=2&id=23082,已筹到,474
842,其他,2015-09-19 00:00:00,51735,50000,项目成功,103,你知道你的“基密”吗,360基因,https://z.jd.com/funderCenter.action?flag=2&id=21328,已筹到,175
843,家电,2016-02-06 00:00:00,116389,100000,项目成功,116,COOLTOUCH智能开关,橙朴智能科技有限公司,https://z.jd.com/funderCenter.action?flag=2&id=40278,已筹到,302
844,科技,2015-09-23 00:00:00,62626,10000,项目成功,626,ASKA头戴式无线耳机,迪为通信有限公司,https://z.jd.com/funderCenter.action?flag=2&id=20951,已筹到,2074
845,科技,2015-09-19 00:00:00,34271,20000,项目成功,171,WENPOD智能拍摄稳拍器,wewow,https://z.jd.com/funderCenter.action?flag=2&id=19992,已筹到,944
846,科技,2015-09-17 00:00:00,7748474,1000000,项目成功,775,擎感 IPDA智能车脑,上海擎感智能科技,https://z.jd.com/funderCenter.action?flag=2&id=21896,已筹到,11772
847,科技,2015-10-08 00:00:00,112615,50000,项目成功,225,玛莎洛克指纹密码电子门锁,兴发智能家居,https://z.jd.com/funderCenter.action?flag=2&id=17778,已筹到,725
848,科技,2015-09-19 00:00:00,204528,50000,项目成功,409,途点点Dooot智能副驾,RoneSmart融一智品,https://z.jd.com/funderCenter.action?flag=2&id=21108,已筹到,1419
849,科技,2016-08-26 00:00:00,125024,200000,众筹中,63,SKY—新世代VR眼镜,LAPUTA_VR,https://z.jd.com/funderCenter.action?flag=2&id=64053,已筹到,1138
850,科技,2016-08-27 00:00:00,22945,100000,众筹中,23,Dipper太阳能移动电源,ligang9333,https://z.jd.com/funderCenter.action?flag=2&id=64567,已筹到,386
851,科技,2016-08-28 00:00:00,179826,100000,众筹中,180,领潮3D 虚拟现实VR相机,领潮科技,https://z.jd.com/funderCenter.action?flag=2&id=64644,已筹到,1244
852,科技,2016-08-28 00:00:00,46082,150000,众筹中,31,“门神”智能门窗报警器,jd_7699df4352993,https://z.jd.com/funderCenter.action?flag=2&id=64599,已筹到,228
